title,xmlUrl,ignore
Flow State,https://www.flowstate.fm/feed,
Hell Gate NYC,https://www.hellgatenyc.com/rss/,1
The City,https://www.thecityreporter.nyc/feed/,
Jonathan Bgn,https://jonathanbgn.com/feed.xml,
thegradient,https://thegradient.pub/rss/,
quantamagazine,https://www.quantamagazine.org/feed/,
bounded-regret,https://bounded-regret.ghost.io/rss/,
Emily Gould,https://buttondown.com/EmilyGould/rss,
Tristan Hume,https://thume.ca/atom.xml,
Max Read,https://maxread.substack.com/feed,
dynomight,https://dynomight.net/feed.xml,
Craig Kochis,https://ckochis.com/feed.xml,
West Coast Stat Views,http://observationalepidemiology.blogspot.com//feeds/posts/default?alt=rss,1
astralcodexten,https://www.astralcodexten.com/feed,
lilianweng,https://lilianweng.github.io/index.xml,
the singularity is nearer,https://geohot.github.io/blog/feed.xml,
nearcyan,https://near.blog/feed/,
Engraved,https://www.engraved.blog/rss/,
The Diff,https://www.thediff.co/archive/rss/,
Milky Eggs,https://milkyeggs.com/feed/index.xml,
mrale.ph,https://mrale.ph/atom.xml,
inconvergent,https://inconvergent.net/atom.xml,
Matt Bruenig,https://mattbruenig.com/feed/,
Zhengdong Wang,https://zhengdongwang.com/feed.xml,
Sander Dieleman,https://benanne.github.io/feed.xml,1
Marvinh,https://marvinh.dev/feed.xml,
cprimozic,https://cprimozic.b-cdn.net/rss.xml,
Raph,https://raphlinus.github.io/feed.xml,
yitay,https://www.yitay.net/blog?format=rss,
ilovetheupperwestside,https://ilovetheupperwestside.com/feed/,1
techsupport,https://techsupport.substack.com/feed,
Kevin Schaul,https://www.kschaul.com/index.xml,
Zvi,https://thezvi.substack.com/feed,
Misha,https://www.mishalaskin.com/feed.xml,
arthurconmy,https://arthurconmy.github.io/feed.xml,
Geoffrey Litt,https://www.geoffreylitt.com/feed.xml,
erich grunewald,https://www.erichgrunewald.com/feed.xml,
Victoria Krakovna,https://vkrakovna.wordpress.com/feed/,
Learning and Control,https://sergeylevine.substack.com/feed,
Cold Takes,https://www.cold-takes.com/rss/,
akhaliq,https://akhaliq.substack.com/feed,
simonwillison,https://simonwillison.net/atom/everything/,
neugierig,https://neugierig.org/software/blog/atom.xml,
nsaphra,https://nsaphra.net/index.xml,
geoffreylitt,https://www.geoffreylitt.com/feed.xml,
zimingliublog,https://zimingliublog.wordpress.com/feed/,
danwang,https://danwang.co/feed/,
nate silver,https://www.natesilver.net/feed,
understanding ai,https://www.understandingai.org/feed,
152334h,https://152334h.github.io/index.xml,
Davis Summarizes Papers,https://dblalock.substack.com/feed,
Ahead of AI,https://magazine.sebastianraschka.com/feed,
Artificial Intelligence Made Simple,https://artificialintelligencemadesimple.substack.com/feed,1
oimo,https://blog.oimo.io/feed/,
Jonathan A. Gross,https://jarthurgross.name/blog/rss.xml,
scottaaronson,https://scottaaronson.blog/?feed=rss2,
yoshuabengio,https://yoshuabengio.org/feed/,
kipply,https://kipp.ly/feed,
eleuther,https://blog.eleuther.ai/index.xml,
beautifulpublicdata,https://www.beautifulpublicdata.com/rss/,
nelhage,https://buttondown.com/nelhage/rss,
adam.scherlis,https://adam.scherlis.com/feed/,
Jascha Sohl-Dickstein,https://sohl-dickstein.github.io/feed.xml,
beren,https://www.beren.io/feed.xml,
jakelazaroff,https://jakelazaroff.com/rss.xml,
hillelwayne,https://buttondown.com/hillelwayne/rss,
vero,https://blog.vero.site/index.xml,
nelhage blog,https://blog.nelhage.com/atom.xml,
annas blog,https://annas-blog.org/rss.xml,
atelfo,https://atelfo.github.io/feed.xml,
